slug,name,mevcut_kategoriler,hedef_kategori_slug(cursor),audit (manuel kontrol)
ero-shop-seffaf-mavi-realistik-dildo-20-cm-esnek-jel-doku-damarli-gercekci-penis,"Ero Shop Şeffaf Mavi Realistik Dildo 20 cm – Esnek Jel Doku, Damarlı Gerçekçi Penis",sex-oyuncaklari,realistik-dildolar,doğru
ero-shop-seffaf-pembe-realistik-dildo-23-cm,Ero Shop Şeffaf Pembe Realistik Dildo 23 cm,sex-oyuncaklari,realistik-dildolar,doğru
ero-shop-seffaf-realistik-dildo-23-cm,Ero Shop Şeffaf Realistik Dildo 23 cm,sex-oyuncaklari,realistik-dildolar,doğru
ero-shop-silikon-seffaf-mavi-realistik-dildo-175-cm,"Ero Shop Silikon Şeffaf Mavi Realistik Dildo – 17,5 cm",sex-oyuncaklari,realistik-dildolar,doğru
ero-shop-silikon-seffaf-mor-renkli-realistik-dildo-20-cm,Ero Shop Silikon Şeffaf Mor Renkli Realistik Dildo – 20 cm,sex-oyuncaklari,realistik-dildolar,doğru
eroshop-ayarlanabilir-guclu-titresimli-zenci-vibrator-22cm,Eroshop AYARLANABİLİR GÜÇLÜ TİTREŞİMLİ ZENCİ VİBRATÖR 22CM,sex-oyuncaklari,realistik-vibratorler,doğru
fantezi-deri-aksesuar-vucut-harness-tasmali-siyah,FANTEZİ DERİ AKSESUAR VÜCUT HARNESS TASMALI SİYAH,sex-oyuncaklari,belden-baglamalilar,yanlış/ fetis-ve-fantezi
fantezi-deri-vucut-harness-takimi-siyah-tasma-kelepce-ve-kulot-seti,"Fantezi Deri Vücut Harness Takımı – Siyah Tasma, Kelepçe ve Külot Seti",sex-oyuncaklari,belden-baglamalilar,yanlış/ fetis-ve-fantezi
fetis-fantezi-metal-kelepce,FETİŞ FANTEZİ METAL KELEPÇE,sex-oyuncaklari,fetis-ve-fantezi,doğru
gercek-boyut-kalca-masturbator-55-kg,"Gerçek Boyut Kalça Mastürbatör – 5,5 kg",sex-oyuncaklari,fetis-ve-fantezi,yanlış/ suni-vajina-masturbatorler
gercekci-dildo-kalca-masturbator,Gerçekçi Dildo Kalça Mastürbatör,sex-oyuncaklari,realistik-vibratorler,yanlış/ suni-vajina-masturbatorler
gercekci-sisme-kadin-esmer,Gerçekçi Şişme Kadın Esmer,sex-oyuncaklari,et-dokulu-urunler,yanlış/ sisme-kadinlar
gercekci-sisme-kadin-sarisin,Gerçekçi Şişme Kadın Sarışın,sex-oyuncaklari,et-dokulu-urunler,yanlış/ sisme-kadinlar
gercekci-vajina-masturbator,Gerçekçi Vajina Mastürbatör,sex-oyuncaklari,suni-vajina-masturbatorler,yanlış/ suni-vajina-masturbatorler
gerd-gercek-hissiyatli-testis-halkali-penis-kilifi-77-inc-ten-rengi,Gerd Gerçek Hissiyatlı Testis Halkalı Penis Kılıfı 7.7 İnç – Ten Rengi,sex-oyuncaklari,fetis-ve-fantezi,yanlış/ halka-ve-kiliflar
kelepceli-dantelli-jartiyer-takimi-beyaz,Kelepçeli Dantelli Jartiyer Takımı Beyaz,sex-oyuncaklari,fetis-ve-fantezi,doğru
kelepceli-dantelli-jartiyer-takimi-siyah,Kelepçeli Dantelli Jartiyer Takımı Siyah,sex-oyuncaklari,fetis-ve-fantezi,doğru
keon-214-cm-cift-katmanli-et-doku-penis-dildo,"KEON 21,4 CM Çift Katmanlı Et Doku Penis Dildo",sex-oyuncaklari,realistik-dildolar,doğru
kirmizi-deri-el-ayak-kelepcesi,Kırmızı Deri El Ayak Kelepçesi,sex-oyuncaklari,fetis-ve-fantezi,doğru
kirmizi-fantezi-deri-vucut-seti-harness,Kırmızı Fantezi Deri Vücut Seti Harness,sex-oyuncaklari,belden-baglamalilar,yanlış/ fetis-ve-fantezi
kirmizi-peluslu-metal-kelepce,KIRMIZI PELUŞLU METAL KELEPÇE,sex-oyuncaklari,fetis-ve-fantezi,doğru
kumandali-giyilebilir-titresimli-yumurta-vibrator-10-modlu,Kumandalı Giyilebilir Titreşimli Yumurta Vibratör – 10 Modlu,sex-oyuncaklari,modern-vibratorler,doğru
kylian-gercek-hissiyatli-uzatici-penis-kilifi-77-inc-ten-rengi,Kylian Gerçek Hissiyatlı Uzatıcı Penis Kılıfı 7.7 İnç – Ten Rengi,sex-oyuncaklari,halka-ve-kiliflar,doğru
leopar-desenli-kelepce-detayli-seksi-ic-camasir-takimi,Leopar Desenli Kelepçe Detaylı Seksi İç Çamaşır Takımı,sex-oyuncaklari,fetis-ve-fantezi,doğru
lilly-love-doll-3-islevli-sisme-bebek,Lilly Love Doll 3 İşlevli Şişme Bebek,sex-oyuncaklari,anal-oyuncaklar,yanlış/ sisme-kadinlar
modern-dilli-rabbit-vibrator,Modern Dilli Rabbit Vibratör,sex-oyuncaklari,modern-vibratorler,doğru
nancy-love-doll-3-islevli-sisme-bebek,Nancy Love Doll 3 İşlevli Şişme Bebek,sex-oyuncaklari,anal-oyuncaklar,yanlış/ sisme-kadinlar
okey-ritim-prezervatif-10lu,Okey Ritim Prezervatif 10'Lu,sex-oyuncaklari,prezervatifler,doğru
parlak-dantel-transparan-vucut-corabi-kirmizi,Parlak Dantel Transparan Vücut Çorabı Kırmızı,sex-oyuncaklari,fetis-ve-fantezi,yanlış/ fantezi-giyim
parlak-dantel-transparan-vucut-corabi-mini-etek-konsepti,Parlak Dantel Transparan Vücut Çorabı Mini Etek Konsepti,sex-oyuncaklari,realistik-vibratorler,yanlış/ fantezi-giyim
parlak-dantelli-mini-etek-vucut-corabi,Parlak Dantelli Mini Etek Vücut Çorabı,sex-oyuncaklari,fetis-ve-fantezi,yanlış/ fantezi-giyim
penis-sleeve-uzatmali-seffaf-silikon-penis-kilifi,Penis Sleeve Uzatmalı Şeffaf Silikon Penis Kılıfı,sex-oyuncaklari,halka-ve-kiliflar,doğru
pozizyon-zari-siyah,Pozizyon Zarı Siyah,sex-oyuncaklari,fetis-ve-fantezi,doğru
realistik-ten-penis-vibrator-et-doku-cift-katmanli,REALİSTİK TEN PENİS VİBRATÖR Et Doku Çift Katmanlı,sex-oyuncaklari,et-dokulu-urunler,yanlış/ realistik-vibratorler
seksi-liseli-kiz-kostumu-corap-hediyeli,Seksi Liseli Kız Kostümü+ ÇORAP HEDİYELİ -,sex-oyuncaklari,realistik-vibratorler,yanlış/ fantezi-giyim
silikonlu-anal-tikac-plug-185cm,SİLİKONLU ANAL TIKAÇ PLUG 18.5CM,sex-oyuncaklari,fetis-ve-fantezi,yanlış/ anal-oyuncaklar
siyah-deri-el-ayak-kelepcesi-metal-zincir-baglantili,Siyah Deri El Ayak Kelepçesi Metal Zincir Bağlantılı,sex-oyuncaklari,fetis-ve-fantezi,doğru
strapon-ici-bos-belden-baglamali-penis-vibrator,STRAPON İÇİ BOŞ Belden Bağlamalı Penis Vibratör,sex-oyuncaklari,belden-baglamalilar,doğru
tasinabilir-manuel-anal-masturbator-snail-cup,Taşınabilir Manuel Anal Mastürbatör Snail Cup,sex-oyuncaklari,suni-vajina-masturbatorler,doğru
tavsan-maskeli-ve-fantezi-full-body-seti,TAVŞAN MASKELİ VE FANTEZİ FULL BODY SETİ,sex-oyuncaklari,fetis-ve-fantezi,doğru
yeni-nesil-cift-katmanli-realistik-vantuzlu-testissiz-melez-dildo-penis,Yeni Nesil Çift Katmanlı Realistik Vantuzlu Testissiz Melez Dildo Penis,sex-oyuncaklari,realistik-dildolar,doğru
19-cm-ten-rengi-vantuzlu-dildo-gercekci-silikon-seks-oyuncagi-realistik-penis-dildo,19 CM Ten Rengi Vantuzlu Dildo – Gerçekçi Silikon Seks Oyuncağı | Realistik Penis Dildo,sex-oyuncaklari,realistik-dildolar,doğru
28-cm-titresimli-gercekci-kalin-dildo-penis-guclu-titresim-realistik-dick,28 cm Titreşimli Gerçekçi Kalın Dildo Penis | Güçlü Titreşim – Realistik Dick,sex-oyuncaklari,realistik-dildolar,doğru
